population_group_id,population_group_name,measure_id,measure_name,location_id,location_name,sex_id,sex_name,age_id,age_name,cause_id,cause_name,metric_id,metric_name,year,val,upper,lower
1,All Population,1,Deaths,164,Nepal,3,Both,22,All ages,520,Other chronic respiratory diseases,1,Number,2000,288.9002175234996,517.6933263814944,152.45378486051752
1,All Population,1,Deaths,164,Nepal,3,Both,22,All ages,522,Chronic hepatitis B including cirrhosis,1,Number,2000,1875.7938807707276,2791.4005445742378,1111.6407737789343
1,All Population,1,Deaths,164,Nepal,3,Both,22,All ages,523,Chronic hepatitis C including cirrhosis,1,Number,2000,493.1762905297142,760.504979915351,271.54653169015717
1,All Population,1,Deaths,164,Nepal,3,Both,22,All ages,524,Cirrhosis due to alcohol,1,Number,2000,1428.9995810485373,2192.210682628539,854.9997298974108
1,All Population,1,Deaths,164,Nepal,3,Both,22,All ages,525,Cirrhosis due to other causes,1,Number,2000,665.5554853706249,1010.9512543262219,412.0225047404339
1,All Population,1,Deaths,164,Nepal,3,Both,22,All ages,527,Peptic ulcer disease,1,Number,2000,2833.5281502325593,4327.6212016633235,1804.6397149421011
1,All Population,1,Deaths,164,Nepal,3,Both,22,All ages,528,Gastritis and duodenitis,1,Number,2000,216.41506277944143,427.64307453146597,73.10256946281366
1,All Population,1,Deaths,164,Nepal,3,Both,22,All ages,529,Appendicitis,1,Number,2000,375.99891910538673,795.35277910387,106.21260869182146
1,All Population,1,Deaths,164,Nepal,3,Both,22,All ages,530,Paralytic ileus and intestinal obstruction,1,Number,2000,1018.3195000834792,1616.0134975801247,574.7834661014507
1,All Population,1,Deaths,164,Nepal,3,Both,22,All ages,531,"Inguinal, femoral, and abdominal hernia",1,Number,2000,295.0723412593351,574.3644232380879,141.97557374717886
1,All Population,1,Deaths,164,Nepal,3,Both,22,All ages,693,Motor vehicle road injuries,1,Number,2000,543.0098834752173,820.918865494509,309.2716544942589
1,All Population,1,Deaths,164,Nepal,3,Both,22,All ages,694,Other road injuries,1,Number,2000,10.437855585596896,27.817237090023777,2.6020078011832455
1,All Population,1,Deaths,164,Nepal,3,Both,22,All ages,695,Other transport injuries,1,Number,2000,181.33284314890352,278.98955964642755,115.02994898278513
1,All Population,1,Deaths,164,Nepal,3,Both,22,All ages,995,Maternal abortion and miscarriage,1,Number,2000,236.18150073872073,388.45987485433227,130.3764999696917
1,All Population,1,Deaths,164,Nepal,3,Both,22,All ages,996,Liver cancer due to NASH,1,Number,2000,16.757098589483927,29.260220395779726,9.298252900325261
1,All Population,1,Deaths,164,Nepal,3,Both,22,All ages,997,Chronic kidney disease due to diabetes mellitus type 1,1,Number,2000,121.52429874807606,189.9223388139077,79.14197001089964
1,All Population,1,Deaths,164,Nepal,3,Both,22,All ages,998,Chronic kidney disease due to diabetes mellitus type 2,1,Number,2000,387.8274954581477,540.6957293055519,256.5703286320967
1,All Population,1,Deaths,164,Nepal,3,Both,22,All ages,1004,Pulmonary Arterial Hypertension,1,Number,2000,83.941108007344,157.04636115924987,44.24232838935527
1,All Population,1,Deaths,164,Nepal,3,Both,22,All ages,1005,Hepatoblastoma,1,Number,2000,3.2366422003948023,5.181035742926323,2.027913945756518
1,All Population,1,Deaths,164,Nepal,3,Both,22,All ages,1006,Burkitt lymphoma,1,Number,2000,6.905324943858851,12.27672042098371,3.4145707418112563
1,All Population,1,Deaths,164,Nepal,3,Both,22,All ages,1007,Other non-Hodgkin lymphoma,1,Number,2000,272.4277760748085,376.03433024401113,196.25544410097305
1,All Population,1,Deaths,164,Nepal,3,Both,22,All ages,1009,Retinoblastoma,1,Number,2000,16.577545934078103,46.21480834570997,4.173453326378088
1,All Population,1,Deaths,164,Nepal,3,Both,22,All ages,1010,Other eye cancers,1,Number,2000,4.508046270160783,9.418077687421466,2.075046633771359
1,All Population,1,Deaths,164,Nepal,3,Both,22,All ages,1011,Soft tissue and other extraosseous sarcomas,1,Number,2000,88.81909514914608,157.12194901860005,49.06217619020511
1,All Population,1,Deaths,164,Nepal,3,Both,22,All ages,1012,Malignant neoplasm of bone and articular cartilage,1,Number,2000,132.9301860852182,214.6228131740454,79.14619019520032
1,All Population,1,Deaths,164,Nepal,3,Both,22,All ages,1013,Neuroblastoma and other peripheral nervous cell tumors,1,Number,2000,7.045127419368876,10.489771338813254,4.449577845075907
1,All Population,1,Deaths,164,Nepal,3,Both,22,All ages,483,Mesothelioma,1,Number,2001,8.6664515583581,11.66325647800704,5.800919642810769
1,All Population,1,Deaths,164,Nepal,3,Both,22,All ages,484,Hodgkin lymphoma,1,Number,2001,98.76499999817062,158.7915396466532,60.5865834251639
1,All Population,1,Deaths,164,Nepal,3,Both,22,All ages,486,Multiple myeloma,1,Number,2001,79.7625667513758,116.40064277043349,49.25838662264284
